id,title,desc,authors,categories,averageRating,maturityRating,publishedDate,pageCount
TO_dEAAAQBAJ,Lập trình với Python,"Python là gì Theo chỉ số phổ biến của ngôn ngữ lập trình (PYPL) trong năm 2022, Python hiện xếp đầu tiên trên bảng xếp hạng trên cả Java và JavaScript. Python là ngôn ngữ lập trình mạnh mẽ, hiện đại, dễ học và được yêu thích nhất trên thế giới, nó đặc biệt chiếm ưu thế trong lĩnh vực khoa học máy tính như Trí tuệ nhân tạo (Artificial Intelligence, Học máy (Machine Learning), Đồ họa và xử lý ảnh (Digital Image Processing),... Mục đích của cuốn sách Giúp người đọc làm chủ những kiến thức cơ bản về lập trình nói chung và ngôn ngữ lập trình Python nói riêng một cách nhanh chóng và hứng thú nhất. Giúp người đọc có cái nhìn tổng quan về một sản phẩm công nghệ thông tin, từ việc hình thành ý tưởng, lập trình tạo ra nó đến đóng gói và đưa nó đến người dùng. Giúp các bạn học sinh, sinh viên có một công cụ mạnh mẽ hỗ trợ học tập các môn học khác trong quá trình nghiên cứu, tính toán, mô phỏng và chia sẻ kết quả với cộng đồng. Nội dung cuốn sách Cuốn sách gồm 06 chương: Mỗi chương là một dự án lý thú có tính thực tiễn cao từ đơn giản đến phức tạp giúp người đọc từng bước làm chủ ngôn ngữ lập trình python, đồng thời nắm bắt được hiện trạng cũng như xu hướng đang diễn ra của các sản phẩm mà lập trình viên có thể tạo ra trong cuộc sống. Chương 1: Giới thiệu về ngôn ngữ lập trình Python, hướng dẫn cài đặt và giới thiệu các kiến thức cơ bản nhất để làm việc với Python. Chương 2: Tìm hiểu lập trình đồ họa với thư viện Pygame và tạo ra trò chơi Lái tàu vũ trụ, qua đó cung cấp kiến thức cơ bản về lập trình như vòng lặp, sự kiện, cấu trúc rẽ nhánh… Chương 3: Lập trình tạo một chiếc máy tính Casio với các chức năng cơ bản thông qua thư viện giao diện đồ họa người dùng (GUI – Graphical User Interface) Tkinter của Python. Chương 4: Cung cấp kiến thức cơ bản về cách website hoạt động trong thực tế và một ứng dụng của Python xây dựng website. Người đọc sẽ được hướng dẫn để tạo một website thu thập một số thông tin về giá vàng từ các trang tin tức khác. Chương 5: Tìm hiểu về Trí tuệ nhân tạo và ứng dụng các thư viện có sẵn để xây dựng một ChatBot với Python. Phụ lục: Giới thiệu về các nội dung mở rộng: - Kiến thức nâng cao như mảng nhiều chiều, thuật toán đệ quy, thuật toán sắp xếp… - Debugging và Testing trong lập trình; - Kiến thức về mã hóa, Blockchain và tiền ảo; - Cách xuất chương trình thành ứng dụng di động và đăng tải lên kho ứng dụng Google Play và App Store; - Thông tin về cách xuất bản một website lên mạng Internet; - Ứng dụng Generative AI (ChatGPT, Bing, Bard...) trong học lập trình; - Cộng đồng lập trình viên trên thế giới. Đối tượng sử dụng sách Học sinh, sinh viên, giáo viên muốn tìm hiểu về lập trình Python. Cuốn sách được xây dựng để người học có thể trực tiếp học Python mà không nhất thiết phải biết ngôn ngữ lập trình nào khác trước đó. Các kiến thức cần thiết về lập trình và công nghệ thông tin sẽ được lồng ghép trong từng bài khi cần thiết. Cảm ơn Chúng tôi xin chân thành cảm ơn cộng đồng bạn đọc đã luôn ủng hộ VIETSTEM và đội ngũ tác giả. Những phản hồi tích cực trong thời gian qua là động lực để chúng tôi tiếp tục hành trình tạo ra những sản phẩm ngày một sáng tạo và chất lượng hơn, giúp phổ biến lập trình cũng như phổ biến giáo dục STEM đến mọi học sinh Việt Nam, góp phần tạo nên một thế hệ trẻ yêu công nghệ. Để có thêm thông tin và tài liệu hỗ trợ, các bạn có thể truy cập vào mục trợ giúp và tải tài liệu trên website: https://vietstem.com/.",VIETSTEM,Education,,NOT_MATURE,10/19/2023,234
evDdEAAAQBAJ,Coding 10 Lập trình với Python,"Tại sao cần yêu công nghệ, cần làm chủ công nghệ và cần học lập trình? Ở Việt Nam cách đây 40 năm, những người được đi học nước ngoài, có tầm nhìn, có thông tin là những người nắm được chìa khóa để thành công. Cách đây 20 năm, đất nước bước vào hội nhập kinh thế thế giới, những người có khả năng ngoại ngữ để làm việc với các đối tác nước ngoài, họ là những người nắm được chìa khóa để thành công. Giờ đây, khi thế giới phẳng, thương mại không còn biên giới, ngoại ngữ đã trở thành tiêu chuẩn của mọi sinh viên tốt nghiệp thì chìa khóa để thành công là gì? Đó chính là khả năng ứng dụng và làm chủ công nghệ. Hiểu các cách các sản phẩm công nghệ được tạo ra, cách chúng hoạt động như thế nào, tất cả sẽ trở lên rõ ràng khi chúng ta học lập trình. Nó như một thứ ngôn ngữ mới cần phải có trong kỷ nguyên 4.0. Trên thế giới, học sinh được học lập trình như thế nào? Ở các nước phát triển như Anh, Hàn Quốc, Trung Quốc, Mỹ, châu Âu, lập trình được các bậc phụ huynh coi là một kỹ năng cần thiết, thậm chí nó đã được dạy phổ biến từ cấp tiểu học. Tại Việt Nam, học sinh được học lập trình như thế nào? Trong chương trình Giáo dục phổ thông mới, lập trình hiện là một phần trong chương trình của môn Tin học và Tin học sẽ trở thành môn học bắt buộc dạy từ lớp 3 đến lớp 12 (trong chương trình hiện hành là môn tự chọn). Lập trình hay lập trình điều khiển robot đã không còn xa lạ với học sinh và phụ huynh. Các câu lạc bộ, các cuộc thi được tổ chức ở nhiều nơi từ các thành phố lớn đến nông thôn. Mục đích của cuốn sách Cuốn sách Coding 10 nằm trong bộ sách Coding từ lớp 1 đến lớp 12, được VIETSTEM đầu tư nghiên cứu và biên soạn với mong muốn mang lập trình và tình yêu công nghệ đến mọi học sinh Việt Nam, góp phần xây dựng một thế hệ học sinh mới yêu công nghệ. Ngoài ra, cuốn sách cũng giúp giáo viên và học sinh dễ dàng trong việc triển khai dạy và học lập trình tương ứng với từng cấp học. Nội dung của cuốn sách Cuốn sách Coding 10 lập trình với Python bao gồm 05 chương giúp các bạn làm chủ các kiến thức từ cơ bản đến nâng cao về lập trình như sau: + Chương I: Hướng dẫn cách cài đặt, tìm hiểu các khái niệm cơ bản và làm quen với cấu trúc tuần tự và biến qua dự án Đồng hồ điện tử. + Chương II: Biết được cách máy tính xác định vị trí khuôn mặt trên khung hình cũng như nắm chắc cách sử dụng danh sách, cấu trúc vòng lặp hữu hạn trong lập trình qua dự án Nhận diện khuôn mặt. + Chương III: Tạo ứng dụng trên thiết bị di động và biết cách tự định nghĩa hàm, lớp, từ đó củng cố và nâng cao kỹ năng sử dụng biến và vòng lặp qua dự án Máy tính kỹ thuật số. + Chương IV: Biết cách thêm âm thanh, hình ảnh vào dự án cũng như xử lý các sự kiện từ đó nâng cao kiến thức về hàm, lớp để tạo thuộc tính và phương thức cho đối tượng án Trận Him Lam mở đầu chiến dịch Điện Biên Phủ. + Chương V: Biết cách thiết lập vị trí, hướng, thêm đối tượng vào không gian ba chiều và tìm hiểu về cấu trúc tổng hợp trong Python qua dự án Rubik 3D. Ngoài ra, phần phụ lục sẽ hướng dẫn các bạn cách tìm và sửa lỗi sai trong chương trình; Cách sử dụng trí tuệ nhân tạo chatbot trong học lập trình; Giới thiệu cộng đồng lập trình viên trên thế giới; Giới thiệu về mã hóa, công nghệ blockchain và tiền ảo; Giới thiệu thêm một số đối tượng trong thư viện Kivy; Hướng dẫn cách đăng tải ứng dụng lên chợ ứng dụng như CH Play và AppStore. Để có thêm thông tin hỗ trợ, tài liệu, bản mềm các ví dụ trong sách, các bạn có thể truy cập vào mục Hỗ trợ và tải tài liệu trên website: https://vietstem.com/. Đối tượng sử dụng sách Học sinh lớp 10: Có thể tự học và thực hành theo hướng dẫn trong sách. Giáo viên tin học: Sử dụng làm tài liệu tham khảo. Cảm ơn Chúng tôi xin chân thành cảm ơn cộng đồng bạn đọc đã luôn ủng hộ VIETSTEM và đội ngũ tác giả. VIETSTEM luôn mong muốn mang đến những giá trị tốt nhất cho cộng đồng, tuy nhiên trong quá trình biên soạn chắc chắn không tránh khỏi những thiếu sót nhất định, chúng tôi rất mong nhận được những ý kiến đóng góp từ bạn đọc tới email support@vietstem.com để hoàn thiện cuốn sách trong những lần tái bản tiếp theo. Xin chân thành cảm ơn!",VIETSTEM,Education,,NOT_MATURE,10/19/2023,201
NF3oEAAAQBAJ,Coding 8 Lập trình với Python,,VIETSTEM,Computers,,MATURE,12/31/2023,198
O99WEAAAQBAJ,Sách luyện thi Hội thi Tin học trẻ với Python bảng B cấp THCS,"Trong năm 2021, với cú pháp đơn giản, dễ học, dễ hiểu,… Python đã vươn lên trở thành ngôn ngữ lập trình bậc cao được sử dụng phổ biến nhất trên thế giới, đặc biệt trong lĩnh vực trí tuệ nhân tạo, máy học và phân tích dữ liệu. Do vậy, trong những năm qua Python đã được đưa vào các đề thi Hội thi Tin học trẻ nhằm từng bước thay thế những ngôn ngữ lập trình trước kia như Pascal. Mục đích của cuốn sách Cung cấp tới các thầy cô và các bạn học sinh tài liệu hướng dẫn ôn luyện “Hội thi Tin học trẻ” (tập trung vào Bảng B: Thi kỹ năng lập trình cấp Trung học cơ sở). Nội dung cuốn sách Cuốn sách gồm 04 chương: Chương 1: Giới thiệu thông tin về “Hội thi Tin học trẻ”. Chương 2: Cung cấp các dạng bài thường gặp trong các đề thi, mỗi dạng bài đều có hướng dẫn chi tiết một số bài mẫu, khái quát cách giải và thư viện bài tập giúp học sinh tự ôn luyện cho từng dạng câu hỏi. Chương 3: Hướng dẫn giải một số đề thi chính thức của Hội thi Tin học trẻ cấp Quốc gia và một số cuộc thi cấp tỉnh, thành phố tiêu biểu. Chương 4: Cung cấp thư viện đề thi chọn lọc qua các năm giúp học sinh thực hành tự ôn luyện nâng cao kỹ năng giải đề. Phụ lục: Giới thiệu một số cuộc thi và bài thi quốc tế dành cho học sinh trung học cơ sở; một số trang web luyện thi trực tuyến và cộng đồng lập trình viên với kho mã nguồn mở trên toàn thế giới. Yêu cầu kiến thức khi sử dụng sách",VIETSTEM,Education,4,NOT_MATURE,12/29/2021,202
w-TaAAAAMAAJ,"Động vật chí Việt Nam: Phân bộ̣ rá̆n, Serpentes",,,Animals,,NOT_MATURE,2007,274
ExKs2q51U9UC,Tập san nghiên cứu lịch sử,,,Vietnam,,NOT_MATURE,1959,1244
u9TaAAAAMAAJ,Hệ động - thực vật ở Phong Nha - Kẻ Bàng và Hin Nậ̣mnô,,,Biology,,NOT_MATURE,2002,176
WjdkAAAAMAAJ,Tiếng Hà Nhì,,Văn Thông Tạ,Hani (Asian people),,NOT_MATURE,2001,268
Jv4PAQAAMAAJ,Cây thuốc và động vật làm thuốc ở Việt Nam,,,"Materia medica, Vegetable",,NOT_MATURE,2004,1264
4k7lg8Xq5kkC,"Động vật chí Việt Nam: Bộ Ve bét, Acarina",,,Animals,,NOT_MATURE,2001,440
